source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
hersh2022_pacific,10.1073/pnas.2201692119,349,38,1987-03-09T17:04:03,,5,0.436,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.117,0.111,0.101,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,350,38,1987-03-09T17:04:07,,6,0.792,,,,,61,Galapagos Islands (GAL),0.1,-91.3,0.135,0.127,0.118,0.119,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,351,38,1987-03-09T17:04:11,,6,1.189,,,,,610,Galapagos Islands (GAL),0.1,-91.3,0.144,0.133,0.121,0.126,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,352,38,1987-03-09T17:04:17,,6,0.788,,,,,61,Galapagos Islands (GAL),0.1,-91.3,0.135,0.135,0.121,0.125,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,353,38,1987-03-09T17:04:32,,12,0.337,,,,,,Galapagos Islands (GAL),0.1,-91.3,0.037,0.036,0.035,0.031,0.031,0.029,0.028,0.031,0.027,0.024,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,354,38,1987-03-09T17:05:13,,6,0.336,,,,,64,Galapagos Islands (GAL),0.1,-91.3,0.041,0.035,0.077,0.086,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,355,38,1987-03-09T17:05:14,,5,0.417,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.114,0.101,0.094,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,356,38,1987-03-09T17:05:19,,5,0.435,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.112,0.108,0.103,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,357,38,1987-03-09T17:05:19,,5,0.811,,,,,51,Galapagos Islands (GAL),0.1,-91.3,0.2,0.202,0.208,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,358,38,1987-03-09T17:05:22,,8,0.578,,,,,88,Galapagos Islands (GAL),0.1,-91.3,0.102,0.054,0.065,0.081,0.101,0.077,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,359,38,1987-03-09T17:05:24,,5,0.466,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.126,0.114,0.113,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,360,38,1987-03-09T17:05:25,,8,0.577,,,,,85,Galapagos Islands (GAL),0.1,-91.3,0.055,0.045,0.048,0.064,0.076,0.089,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,361,38,1987-03-09T17:05:29,,5,0.463,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.126,0.112,0.113,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,362,38,1987-03-09T17:05:30,,7,1.278,,,,,79,Galapagos Islands (GAL),0.1,-91.3,0.189,0.199,0.202,0.195,0.211,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,363,38,1987-03-09T17:05:34,,5,0.426,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.114,0.109,0.098,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,364,38,1987-03-09T17:05:39,,5,0.424,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.101,0.101,0.102,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,365,38,1987-03-09T17:05:45,,5,0.444,,,,,59,Galapagos Islands (GAL),0.1,-91.3,0.124,0.112,0.099,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,2378,31,1987-01-23T01:00:20,,8,2.782,,,,Regular,88,Galapagos Islands (GAL),0.133,-90.962,0.297,0.419,0.412,0.419,0.409,0.416,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2022_pacific,10.1073/pnas.2201692119,2379,31,1987-01-23T01:01:59,,5,1.018,,,,Regular,512,Galapagos Islands (GAL),0.133,-90.962,0.244,0.259,0.254,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
