source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0006,49,11/12/1981,,5,0.63953,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.13069,0.13812,0.15555,0.21517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0007,49,11/12/1981,,4,0.6760493,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.2348767,0.2056188,0.2355538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0008,49,11/12/1981,,6,0.7814872,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.1728611,0.1708494,0.1292186,0.132093,0.1764651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0009,49,11/12/1981,,5,0.642611,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.105589,0.125384,0.205673,0.205965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0010,49,11/12/1981,,5,0.4481854,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0999213,0.112748,0.1037929,0.1317232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0011,49,11/12/1981,,5,0.6117698,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.1900961,0.1380065,0.1332297,0.1504375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0012,49,11/12/1981,,5,0.509738,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0943568,0.1289255,0.1394146,0.1470411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0013,49,11/12/1981,,9,1.0753542,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.161974,0.121375,0.1305677,0.1245,0.1338541,0.1204115,0.1356302,0.1470417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0014,49,11/12/1981,,6,0.5956887,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0955068,0.1085158,0.1092873,0.1145262,0.1678526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0015,49,11/12/1981,,5,1.1232267,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.2873409,0.2431722,0.2988289,0.2938847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0016,49,11/12/1981,,4,0.8128738,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.2647585,0.2752272,0.2728881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0017,49,11/12/1981,,9,1.4312436,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.19534,0.1745939,0.1768231,0.172874,0.1746368,0.1760315,0.1768648,0.1840795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0018,49,11/12/1981,,9,1.253242,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.1666153,0.1596153,0.1565162,0.1497103,0.1482661,0.1507205,0.1433811,0.1784172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0019,49,11/12/1981,,5,1.0631285,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.2596464,0.2627505,0.2690535,0.2716781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0020,49,11/12/1981,,5,1.0697718,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.2660153,0.2585634,0.2771351,0.268058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0021,49,11/12/1981,,6,0.4274365,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0794962,0.0733503,0.0900116,0.0780725,0.1065059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0022,49,11/12/1981,,6,0.2772967,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0465752,0.0503391,0.0489516,0.0572852,0.0741456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0023,49,11/12/1981,,6,0.2713845,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.0364215,0.0476211,0.0468313,0.0592825,0.0812281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hersh2021_idcallr,10.1111/2041-210X.13524,WAT0024,49,11/12/1981,,5,0.5976488,,,49,,,"Eastern Caribbean, Watkins archive (CAR)",,,0.1444764,0.1491441,0.1522034,0.1518249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
