source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
bermant2019_etp,10.1038/s41598-019-48909-4,18,,1985-02-23T12:03:54,,13,2.854,,,,Regular,131,Eastern Tropical Pacific,,,0.243,0.233,0.235,0.237,0.239,0.24,0.237,0.239,0.241,0.236,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,124,,1985-02-24T06:05:33,,16,2.789,,,,Regular,161,Eastern Tropical Pacific,,,0.187,0.176,0.175,0.175,0.176,0.181,0.182,0.184,0.18,0.185,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,175,,1985-03-06T16:04:01,,8,1.379,,,,Regular,899,Eastern Tropical Pacific,,,0.247,0.186,0.178,0.192,0.188,0.193,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,176,,1985-03-06T16:04:06,,6,0.943,,,,Regular,61,Eastern Tropical Pacific,,,0.188,0.177,0.196,0.169,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,177,,1985-03-06T16:04:10,,8,1.3,,,,Regular,899,Eastern Tropical Pacific,,,0.169,0.19,0.188,0.186,0.18,0.193,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,178,,1985-03-06T16:04:14,,9,1.395,,,,Regular,91,Eastern Tropical Pacific,,,0.17,0.169,0.164,0.169,0.186,0.197,0.179,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,179,,1985-03-06T16:04:18,,10,1.598,,,,Regular,1099,Eastern Tropical Pacific,,,0.167,0.171,0.177,0.165,0.179,0.17,0.191,0.184,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,180,,1985-03-06T16:04:18,,7,1.106,,,,Regular,72,Eastern Tropical Pacific,,,0.181,0.173,0.187,0.172,0.197,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,181,,1985-03-06T16:05:11,,5,0.73899999999999,,,,Regular,599,Eastern Tropical Pacific,,,0.183,0.194,0.187,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bermant2019_etp,10.1038/s41598-019-48909-4,182,,1985-03-06T17:03:02,,5,0.397,,,,Regular,599,Eastern Tropical Pacific,,,0.091,0.11,0.096,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
