codanum,focal,whale,codatype,Duration,handv
4933,True,ATWOOD,1+1+3,0.89825,i
4934,True,ATWOOD,1+1+3,0.865575,i
4935,True,ATWOOD,1+1+3,0.8583166,i
4936,True,ATWOOD,1+1+3,0.8619416,i
4937,True,ATWOOD,1+1+3,0.838825,i
4938,True,ATWOOD,1+1+3,0.8447333,i
4939,True,ATWOOD,1+1+3,0.8275417,i
4940,True,ATWOOD,1+1+3,0.8468334,i
4941,True,ATWOOD,1+1+3,1.0484083,i
4942,True,ATWOOD,1+1+3,0.9956333,i
4943,True,ATWOOD,1+1+3,0.9803084,i
4944,True,ATWOOD,1+1+3,0.9525416,i
4945,True,ATWOOD,1+1+3,1.0598584,i
4946,True,ATWOOD,1+1+3,1.0668667,i
4947,True,ATWOOD,1+1+3,1.0691167,i
4948,True,ATWOOD,1+1+3,1.0382417,i
4949,True,ATWOOD,1+1+3,0.9752834,i
4958,True,ATWOOD,1+1+3,0.8768083,i
4959,True,ATWOOD,1+1+3,0.8888416,i
4960,True,ATWOOD,6-NOISE,1.060625,i
4985,True,ATWOOD,9i,0.39305,a
4986,True,ATWOOD,8i,0.3561833,a
4987,True,ATWOOD,5R1,0.3098333,a
4988,True,ATWOOD,5R1,0.341425,a
4989,True,ATWOOD,6i,0.3734917,a
4990,True,ATWOOD,5R1,0.3405417,a
4991,True,ATWOOD,5R1,0.3358584,a
4992,True,ATWOOD,5R1,0.3282583,a
4993,True,ATWOOD,5R1,0.3341,a
4994,True,ATWOOD,5R1,0.317175,a
4995,True,ATWOOD,6i,0.390875,a
4996,True,ATWOOD,5R1,0.3297916,a
4997,True,ATWOOD,5R1,0.3384333,a
4998,True,ATWOOD,5R1,0.3479833,a
4999,True,ATWOOD,6i,0.4075167,a
5012,True,ATWOOD,6i,0.419425,a
5013,True,ATWOOD,5R1,0.3266,a
5014,True,ATWOOD,5-NOISE,0.3596916,a
5015,True,ATWOOD,6i,0.3793583,a
5018,True,ATWOOD,6-NOISE,1.2175333,i
5019,True,ATWOOD,1+1+3,1.031875,i
5020,True,ATWOOD,1+1+3,0.9328,i
5021,True,ATWOOD,1+1+3,0.9238417,i
5022,True,ATWOOD,1+1+3,0.9870084,i
5023,True,ATWOOD,1+1+3,0.9885917,i
5024,True,ATWOOD,1+1+3,0.9898417,i
5025,True,ATWOOD,6-NOISE,1.2446417,i
5026,True,ATWOOD,1+1+3,1.1383333,i
5027,True,ATWOOD,1+1+3,1.13705,i
5028,True,ATWOOD,1+1+3,1.1143331,i
5029,True,ATWOOD,1+1+3,1.0642667,i
5030,True,ATWOOD,1+1+3,1.0549583,i
5031,True,ATWOOD,8D,1.4049917,a
5036,True,ATWOOD,1+1+3,0.90795,i
5037,True,ATWOOD,1+1+3,0.8891166,i
5038,True,ATWOOD,1+1+3,0.8545083,i
5039,True,ATWOOD,1+1+3,0.8804833,i
5040,True,ATWOOD,1+1+3,0.8843917,i
