prevspecidx,whale,coart,prevcodanum,codanum,prevclicknum,clicknum,prevaudidx,audidx,prevhandvcat,handvcat,handvsubtype,prevtagondt,tagondt,prevcodadt,codadt,prevcodaenddt,codaenddt,pairt1,midt,pairt2,deltasec,specidx,prevspecpk,specpk,prevpkidx,pkidx,prevpkfq,pkfq,prevf1pk,f1pk,f2pk,prevf2pk,prevnumpks,numpks
0,ATWOOD,aa,4985,4986,9,1,109,110,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:02.002500000,2015-02-03 11:29:07.350800000,2015-02-03 11:29:02.395550000,2015-02-03 11:29:07.706983300,0.0,0.015,0.03,4.95525,1,6796.875,6328.125,[29],[27],[6796.875],[6328.125],6796.875,6328.125,,,1,1
2,ATWOOD,aa,4986,4987,8,1,117,118,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:07.350800000,2015-02-03 11:29:12.795300000,2015-02-03 11:29:07.706983300,2015-02-03 11:29:13.105133300,0.03,0.045,0.06,5.0883167,3,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
4,ATWOOD,aa,4987,4988,5,1,122,123,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:12.795300000,2015-02-03 11:29:17.849100000,2015-02-03 11:29:13.105133300,2015-02-03 11:29:18.190525000,0.06,0.075,0.09,4.7439667,5,6796.875,6796.875,[29],[29],[6796.875],[6796.875],6796.875,6796.875,,,1,1
6,ATWOOD,aa,4988,4989,5,1,127,128,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:17.849100000,2015-02-03 11:29:23.391000000,2015-02-03 11:29:18.190525000,2015-02-03 11:29:23.764491700,0.09,0.105,0.12,5.200475,7,7031.25,6562.5,[30],[28],[7031.25],[6562.5],7031.25,6562.5,,,1,1
8,ATWOOD,aa,4989,4990,6,1,133,134,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:23.391000000,2015-02-03 11:29:41.892800000,2015-02-03 11:29:23.764491700,2015-02-03 11:29:42.233341700,0.12,0.135,0.15,18.1283083,9,6328.125,6796.875,[27],[29],[6328.125],[6796.875],6328.125,6796.875,,,1,1
10,ATWOOD,aa,4990,4991,5,1,138,139,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:41.892800000,2015-02-03 11:29:47.590900000,2015-02-03 11:29:42.233341700,2015-02-03 11:29:47.926758400,0.15,0.165,0.18,5.3575583,11,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
12,ATWOOD,aa,4991,4992,5,1,143,144,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:47.590900000,2015-02-03 11:29:53.378800000,2015-02-03 11:29:47.926758400,2015-02-03 11:29:53.707058300,0.18,0.195,0.21,5.4520416,13,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
14,ATWOOD,aa,4992,4993,5,1,148,149,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:53.378800000,2015-02-03 11:29:58.405700000,2015-02-03 11:29:53.707058300,2015-02-03 11:29:58.739800000,0.21,0.225,0.24,4.6986417,15,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
16,ATWOOD,aa,4993,4994,5,1,153,154,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:29:58.405700000,2015-02-03 11:30:04.176600000,2015-02-03 11:29:58.739800000,2015-02-03 11:30:04.493775000,0.24,0.255,0.27,5.4368,17,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
18,ATWOOD,aa,4994,4995,5,1,158,159,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:04.176600000,2015-02-03 11:30:09.176300000,2015-02-03 11:30:04.493775000,2015-02-03 11:30:09.567175000,0.27,0.285,0.3,4.682525,19,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
20,ATWOOD,aa,4995,4996,6,1,164,165,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:09.176300000,2015-02-03 11:30:14.330800000,2015-02-03 11:30:09.567175000,2015-02-03 11:30:14.660591600,0.3,0.315,0.33,4.763625,21,6562.5,6093.75,[28],[26],[6562.5],[6093.75],6562.5,6093.75,,,1,1
22,ATWOOD,aa,4996,4997,5,1,169,170,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:14.330800000,2015-02-03 11:30:19.388400000,2015-02-03 11:30:14.660591600,2015-02-03 11:30:19.726833300,0.33,0.345,0.36,4.7278084,23,6093.75,6328.125,[26],[27],[6093.75],[6328.125],6093.75,6328.125,,,1,1
24,ATWOOD,aa,4997,4998,5,1,174,175,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:19.388400000,2015-02-03 11:30:23.804000000,2015-02-03 11:30:19.726833300,2015-02-03 11:30:24.151983300,0.36,0.375,0.39,4.0771667,25,6328.125,6328.125,[27],[27],[6328.125],[6328.125],6328.125,6328.125,,,1,1
26,ATWOOD,aa,4998,4999,5,1,179,180,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:23.804000000,2015-02-03 11:30:28.299100000,2015-02-03 11:30:24.151983300,2015-02-03 11:30:28.706616700,0.39,0.405,0.42,4.1471167,27,6328.125,6562.5,[27],[28],[6328.125],[6562.5],6328.125,6562.5,,,1,1
28,ATWOOD,aa,4999,5012,6,1,185,186,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:28.299100000,2015-02-03 11:30:57.130500000,2015-02-03 11:30:28.706616700,2015-02-03 11:30:57.549925000,0.42,0.435,0.45,28.4238833,29,6328.125,6796.875,[27],[29],[6328.125],[6796.875],6328.125,6796.875,,,1,1
30,ATWOOD,aa,5012,5013,6,1,191,192,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:30:57.130500000,2015-02-03 11:31:01.453600000,2015-02-03 11:30:57.549925000,2015-02-03 11:31:01.780200000,0.45,0.465,0.48,3.903675,31,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
32,ATWOOD,aa,5013,5014,5,1,196,197,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:31:01.453600000,2015-02-03 11:31:07.889600000,2015-02-03 11:31:01.780200000,2015-02-03 11:31:08.249291600,0.48,0.495,0.51,6.1094,33,6562.5,7031.25,[28],[30],[6562.5],[7031.25],6562.5,7031.25,,,1,1
34,ATWOOD,aa,5014,5015,5,1,201,202,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 11:31:07.889600000,2015-02-03 11:31:13.547100000,2015-02-03 11:31:08.249291600,2015-02-03 11:31:13.926458300,0.51,0.525,0.54,5.2978084,35,6562.5,6796.875,[28],[29],[6562.5],[6796.875],6562.5,6796.875,,,1,1
36,ATWOOD,aa,5063,5064,6,1,318,319,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:43.487500000,2015-02-03 12:32:48.958500000,2015-02-03 12:32:43.892600000,2015-02-03 12:32:49.277841700,0.54,0.555,0.57,5.0659,37,6562.5,6562.5,[28],[28],[6562.5],[6562.5],6562.5,6562.5,,,1,1
38,ATWOOD,aa,5064,5065,5,1,323,324,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:48.958500000,2015-02-03 12:32:54.575700000,2015-02-03 12:32:49.277841700,2015-02-03 12:32:54.898383400,0.57,0.585,0.6,5.2978583,39,6093.75,7265.625,[26],[31],[6093.75],[7265.625],6093.75,7265.625,,,1,1
40,ATWOOD,aa,5065,5066,5,1,328,329,a,a,,2015-02-03 11:20:26,2015-02-03 11:20:26,2015-02-03 12:32:54.575700000,2015-02-03 12:32:59.325100000,2015-02-03 12:32:54.898383400,2015-02-03 12:32:59.695841700,0.6,0.615,0.63,4.4267166,41,6328.125,7031.25,[27],[30],[6328.125],[7031.25],6328.125,7031.25,,,1,1
