source,source_coda_id,coda_type_gero21,classifier_origin
sharma2025_birth,row0,1+1+3,pacific-matched
sharma2025_birth,row1,4D,pacific-matched
sharma2025_birth,row2,4D,pacific-matched
sharma2025_birth,row3,4R1,pacific-matched
sharma2025_birth,row4,1+1+3,pacific-matched
sharma2025_birth,row5,1+1+3,pacific-matched
sharma2025_birth,row6,1+31,pacific-matched
sharma2025_birth,row7,4R2,pacific-matched
sharma2025_birth,row8,1+1+3,pacific-matched
sharma2025_birth,row9,4R2,pacific-matched
sharma2025_birth,row10,1+1+3,pacific-matched
sharma2025_birth,row11,1+1+3,pacific-matched
sharma2025_birth,row12,4R2,pacific-matched
sharma2025_birth,row13,1+1+3,pacific-matched
sharma2025_birth,row14,4R2,pacific-matched
sharma2025_birth,row15,1+1+3,pacific-matched
sharma2025_birth,row16,5R1,pacific-matched
sharma2025_birth,row18,4R2,pacific-matched
sharma2025_birth,row19,1+1+3,pacific-matched
sharma2025_birth,row20,1+1+3,pacific-matched
sharma2025_birth,row21,1+1+3,pacific-matched
sharma2025_birth,row22,1+1+3,pacific-matched
sharma2025_birth,row23,1+1+3,pacific-matched
sharma2025_birth,row24,6-NOISE,discovery-noise
sharma2025_birth,row25,1+1+3,pacific-matched
sharma2025_birth,row27,1+1+3,pacific-matched
sharma2025_birth,row28,1+1+3,pacific-matched
sharma2025_birth,row29,1+1+3,pacific-matched
sharma2025_birth,row30,1+1+3,pacific-matched
sharma2025_birth,row31,1+1+3,pacific-matched
sharma2025_birth,row32,4R1,pacific-matched
sharma2025_birth,row33,3D,pacific-matched
sharma2025_birth,row34,4R1,pacific-matched
sharma2025_birth,row35,5R2,pacific-matched
sharma2025_birth,row36,5R2,pacific-matched
sharma2025_birth,row37,1+1+3,pacific-matched
sharma2025_birth,row38,1+1+3,pacific-matched
sharma2025_birth,row39,1+1+3,pacific-matched
sharma2025_birth,row40,1+1+3,pacific-matched
sharma2025_birth,row41,1+1+3,pacific-matched
sharma2025_birth,row42,1+1+3,pacific-matched
sharma2025_birth,row43,1+1+3,pacific-matched
sharma2025_birth,row44,1+1+3,pacific-matched
sharma2025_birth,row45,1+1+3,pacific-matched
sharma2025_birth,row46,1+1+3,pacific-matched
sharma2025_birth,row47,1+1+3,pacific-matched
sharma2025_birth,row48,1+1+3,pacific-matched
sharma2025_birth,row49,1+1+3,pacific-matched
sharma2025_birth,row50,1+1+3,pacific-matched
sharma2025_birth,row51,1+1+3,pacific-matched
sharma2025_birth,row52,1+1+3,pacific-matched
sharma2025_birth,row53,1+1+3,pacific-matched
sharma2025_birth,row54,1+1+3,pacific-matched
sharma2025_birth,row55,1+31,pacific-matched
sharma2025_birth,row56,1+1+3,pacific-matched
sharma2025_birth,row57,1+1+3,pacific-matched
sharma2025_birth,row58,1+1+3,pacific-matched
sharma2025_birth,row59,1+1+3,pacific-matched
sharma2025_birth,row60,4RP6,discovery-cluster
sharma2025_birth,row61,1+1+3,pacific-matched
sharma2025_birth,row62,1+1+3,pacific-matched
sharma2025_birth,row63,1+1+3,pacific-matched
sharma2025_birth,row64,1+1+3,pacific-matched
sharma2025_birth,row65,1+1+3,pacific-matched
sharma2025_birth,row66,1+1+3,pacific-matched
sharma2025_birth,row67,1+1+3,pacific-matched
sharma2025_birth,row68,1+1+3,pacific-matched
sharma2025_birth,row69,1+1+3,pacific-matched
sharma2025_birth,row70,1+1+3,pacific-matched
sharma2025_birth,row71,1+1+3,pacific-matched
sharma2025_birth,row72,1+1+3,pacific-matched
sharma2025_birth,row73,4R2,pacific-matched
sharma2025_birth,row74,1+1+3,pacific-matched
sharma2025_birth,row75,1+1+3,pacific-matched
sharma2025_birth,row76,1+1+3,pacific-matched
sharma2025_birth,row77,1+31,pacific-matched
sharma2025_birth,row78,1+1+3,pacific-matched
sharma2025_birth,row79,1+1+3,pacific-matched
sharma2025_birth,row80,1+1+3,pacific-matched
sharma2025_birth,row81,1+1+3,pacific-matched
sharma2025_birth,row82,1+1+3,pacific-matched
sharma2025_birth,row83,1+1+3,pacific-matched
sharma2025_birth,row84,1+1+3,pacific-matched
sharma2025_birth,row85,1+1+3,pacific-matched
sharma2025_birth,row86,1+1+3,pacific-matched
sharma2025_birth,row87,1+1+3,pacific-matched
sharma2025_birth,row88,1+1+3,pacific-matched
sharma2025_birth,row89,1+1+3,pacific-matched
sharma2025_birth,row90,1+1+3,pacific-matched
sharma2025_birth,row91,4R2,pacific-matched
sharma2025_birth,row92,1+1+3,pacific-matched
sharma2025_birth,row93,4R2,pacific-matched
sharma2025_birth,row94,1+1+3,pacific-matched
sharma2025_birth,row95,4D,pacific-matched
sharma2025_birth,row96,4D,pacific-matched
sharma2025_birth,row97,1+1+3,pacific-matched
sharma2025_birth,row98,1+1+3,pacific-matched
sharma2025_birth,row99,1+1+3,pacific-matched
sharma2025_birth,row100,3D,pacific-matched
sharma2025_birth,row101,1+1+3,pacific-matched
sharma2025_birth,row102,1+1+3,pacific-matched
sharma2025_birth,row103,1+1+3,pacific-matched
sharma2025_birth,row104,4R2,pacific-matched
sharma2025_birth,row105,1+1+3,pacific-matched
sharma2025_birth,row106,1+1+3,pacific-matched
sharma2025_birth,row107,1+1+3,pacific-matched
sharma2025_birth,row108,8R,pacific-matched
sharma2025_birth,row109,1+1+3,pacific-matched
sharma2025_birth,row110,1+1+3,pacific-matched
sharma2025_birth,row111,4R2,pacific-matched
sharma2025_birth,row112,6-NOISE,discovery-noise
sharma2025_birth,row113,1+1+3,pacific-matched
sharma2025_birth,row114,1+1+3,pacific-matched
sharma2025_birth,row115,1+1+3,pacific-matched
sharma2025_birth,row116,4R2,pacific-matched
sharma2025_birth,row117,1+1+3,pacific-matched
sharma2025_birth,row118,6-NOISE,discovery-noise
sharma2025_birth,row119,4R2,pacific-matched
sharma2025_birth,row120,1+1+3,pacific-matched
sharma2025_birth,row121,1+1+3,pacific-matched
sharma2025_birth,row123,1+1+3,pacific-matched
sharma2025_birth,row124,4R2,pacific-matched
sharma2025_birth,row125,5-NOISE,discovery-noise
sharma2025_birth,row126,4R2,pacific-matched
sharma2025_birth,row127,6-NOISE,discovery-noise
sharma2025_birth,row128,5R3,pacific-matched
sharma2025_birth,row129,4D,pacific-matched
sharma2025_birth,row130,4R2,pacific-matched
sharma2025_birth,row131,4R2,pacific-matched
sharma2025_birth,row132,4D,pacific-matched
sharma2025_birth,row133,1+1+3,pacific-matched
sharma2025_birth,row134,6-NOISE,discovery-noise
sharma2025_birth,row135,5R2,pacific-matched
sharma2025_birth,row136,1+1+3,pacific-matched
sharma2025_birth,row137,1+1+3,pacific-matched
sharma2025_birth,row138,6R,pacific-matched
sharma2025_birth,row139,4R2,pacific-matched
sharma2025_birth,row140,4R2,pacific-matched
sharma2025_birth,row141,1+1+3,pacific-matched
sharma2025_birth,row142,1+1+3,pacific-matched
sharma2025_birth,row143,1+1+3,pacific-matched
sharma2025_birth,row144,4R2,pacific-matched
sharma2025_birth,row145,1+1+3,pacific-matched
sharma2025_birth,row146,1+1+3,pacific-matched
sharma2025_birth,row147,4R2,pacific-matched
sharma2025_birth,row148,1+1+3,pacific-matched
sharma2025_birth,row149,1+1+3,pacific-matched
sharma2025_birth,row150,1+1+3,pacific-matched
sharma2025_birth,row151,1+1+3,pacific-matched
sharma2025_birth,row152,7D1,pacific-matched
sharma2025_birth,row153,1+1+3,pacific-matched
sharma2025_birth,row154,6i,pacific-matched
sharma2025_birth,row155,1+1+3,pacific-matched
sharma2025_birth,row156,1+1+3,pacific-matched
sharma2025_birth,row157,4R2,pacific-matched
sharma2025_birth,row158,6-NOISE,discovery-noise
sharma2025_birth,row159,1+1+3,pacific-matched
sharma2025_birth,row160,4R2,pacific-matched
sharma2025_birth,row161,7R,pacific-matched
sharma2025_birth,row162,1+1+3,pacific-matched
sharma2025_birth,row163,1+1+3,pacific-matched
sharma2025_birth,row164,1+1+3,pacific-matched
sharma2025_birth,row165,1+1+3,pacific-matched
sharma2025_birth,row166,1+1+3,pacific-matched
sharma2025_birth,row167,1+1+3,pacific-matched
sharma2025_birth,row168,1+1+3,pacific-matched
sharma2025_birth,row169,1+1+3,pacific-matched
sharma2025_birth,row170,1+1+3,pacific-matched
sharma2025_birth,row171,1+1+3,pacific-matched
sharma2025_birth,row172,1+1+3,pacific-matched
sharma2025_birth,row173,4R2,pacific-matched
sharma2025_birth,row174,6R,pacific-matched
sharma2025_birth,row175,6-NOISE,discovery-noise
sharma2025_birth,row176,1+1+3,pacific-matched
sharma2025_birth,row177,5R3,pacific-matched
sharma2025_birth,row178,1+1+3,pacific-matched
sharma2025_birth,row179,1+1+3,pacific-matched
sharma2025_birth,row180,5R2,pacific-matched
sharma2025_birth,row181,1+1+3,pacific-matched
